LoyalCH,PriceCH,SpecialCH,SalePriceCH,PriceMM,SpecialMM,SalePriceMM,Purchase
0.786665,1.86,0,1.86,2.18,0,2.18,CH
0.829332,1.86,0,1.86,1.99,0,1.89,CH
0.863466,1.86,0,1.86,2.18,0,2.18,CH
0.890772,1.86,0,1.86,2.18,1,1.78,CH
0.912618,1.86,0,1.86,2.18,0,2.18,CH
0.930094,1.86,0,1.86,2.18,0,2.18,CH
0.944076,1.86,0,1.86,2.18,0,2.12,CH
0.95526,1.86,0,1.86,2.18,0,2.12,CH
0.964208,1.86,0,1.86,2.13,0,1.59,CH
0.971367,1.86,0,1.86,2.18,0,2.18,CH
0.977093,1.96,0,1.96,2.18,1,1.38,CH
0.981675,1.96,0,1.96,2.18,1,1.38,CH
0.98534,1.99,0,1.99,2.13,1,1.59,CH
0.988272,1.99,0,1.99,2.18,0,2.18,CH
0.6,1.99,0,1.99,2.23,0,2.23,CH
0.52,1.75,0,1.75,1.99,0,1.99,CH
0.5,1.99,0,1.99,2.23,0,2.23,CH
0.6,1.99,0,1.99,2.29,0,2.29,MM
0.48,1.86,0,1.86,2.13,0,1.89,MM
0.384,2.09,0,1.89,2.09,0,1.69,CH
0.5,1.75,1,1.75,1.99,0,1.59,MM
0.4,1.75,0,1.75,1.99,0,1.59,MM
0.32,1.86,0,1.86,2.09,0,1.89,MM
0.256,1.86,0,1.86,2.09,0,1.89,MM
0.2048,1.86,0,1.86,2.09,0,1.89,MM
0.16384,1.86,0,1.76,2.09,0,2.09,MM
0.131072,1.99,0,1.49,2.13,1,2.13,MM
0.83616,1.79,0,1.79,1.79,0,1.79,CH
0.868928,1.79,0,1.79,1.79,0,1.79,CH
0.895142,1.79,0,1.79,1.79,0,1.79,CH
0.916114,1.69,0,1.69,1.99,0,1.99,CH
0.932891,1.99,0,1.99,2.09,0,2.09,CH
0.946313,1.99,0,1.89,2.09,0,2.09,CH
0.95705,1.99,0,1.89,2.09,0,2.09,CH
0.96564,1.99,0,1.89,2.09,0,2.09,CH
0.972512,1.99,0,1.89,2.09,0,2.09,CH
0.97801,1.99,0,1.89,2.09,0,2.09,CH
0.982408,1.86,0,1.86,2.18,0,2.18,CH
0.985926,1.99,1,1.89,2.09,0,1.69,CH
0.988741,1.99,0,1.99,2.09,0,1.69,CH
0.990993,1.99,0,1.99,2.09,0,1.69,CH
0.992794,2.09,0,1.89,2.09,0,1.69,CH
0.994235,2.09,0,1.89,2.09,0,1.69,CH
0.995388,2.09,0,1.89,2.09,0,2.09,CH
0.6,1.86,0,1.86,2.18,0,2.18,CH
0.95705,1.69,0,1.69,1.69,1,1.49,CH
0.96564,1.69,0,1.69,1.99,1,1.99,CH
0.972512,1.79,0,1.79,1.79,0,1.79,CH
0.97801,1.79,0,1.79,2.09,0,2.09,CH
0.982408,1.79,0,1.79,2.09,0,2.09,CH
0.985926,1.79,0,1.79,2.23,0,2.23,CH
0.988741,1.86,0,1.86,2.09,0,2.09,CH
0.990993,1.99,0,1.99,2.23,0,2.23,CH
0.992794,1.86,0,1.86,2.09,0,1.89,CH
0.994235,1.99,0,1.99,2.23,0,2.23,CH
0.995388,1.99,0,1.99,2.23,0,2.23,CH
0.996311,1.86,0,1.86,2.09,0,2.09,CH
0.997049,1.99,0,1.99,2.23,0,2.23,CH
0.997639,1.99,1,1.99,2.29,0,2.29,CH
0.998111,1.99,0,1.99,2.29,0,2.29,CH
0.998489,1.99,0,1.99,2.29,1,1.89,CH
0.998791,1.99,0,1.99,2.09,0,2.09,CH
0.999033,1.99,0,1.99,2.09,0,2.09,CH
0.999226,1.99,0,1.99,2.09,0,2.09,CH
0.999381,1.99,0,1.89,2.09,0,2.09,CH
0.999505,1.99,0,1.89,2.09,0,2.09,CH
0.999604,1.86,1,1.49,2.13,0,2.13,CH
0.999683,1.86,1,1.86,2.13,0,2.13,CH
0.999746,1.86,1,1.59,2.13,0,2.13,CH
0.999797,1.99,1,1.89,2.09,0,1.69,CH
0.999838,1.99,0,1.99,2.09,0,1.69,CH
0.99987,1.99,0,1.99,2.09,0,1.69,CH
0.999896,1.99,1,1.99,2.13,0,1.59,CH
0.999917,2.09,0,1.89,2.09,0,1.69,CH
0.999934,1.99,0,1.49,2.13,1,2.13,CH
0.999947,2.09,0,1.89,2.09,0,2.09,CH
0.68,1.69,0,1.69,1.69,1,1.49,MM
0.544,1.69,0,1.69,1.99,1,1.99,CH
0.6352,1.69,0,1.69,1.99,0,1.99,CH
0.70816,1.75,1,1.75,1.99,0,1.59,CH
0.766528,1.75,0,1.75,1.99,0,1.59,CH
0.813222,1.86,0,1.86,2.09,0,2.09,CH
0.850578,1.86,0,1.86,2.09,0,2.09,CH
0.880462,1.86,0,1.76,2.09,0,2.09,CH
0.90437,1.86,0,1.86,2.18,0,2.18,CH
0.923496,1.86,0,1.86,2.18,0,2.18,CH
0.938797,1.86,0,1.86,2.18,0,2.18,CH
0.951037,1.86,0,1.86,2.13,0,1.89,CH
0.96083,1.86,0,1.59,2.13,0,2.13,CH
0.968664,1.86,1,1.49,2.13,0,2.13,CH
0.974931,1.86,1,1.49,2.13,0,2.13,CH
0.979945,1.86,1,1.49,2.13,0,2.13,CH
0.983956,1.86,1,1.86,2.13,0,2.13,CH
0.987165,1.86,1,1.59,2.13,0,2.13,CH
0.989732,1.86,0,1.86,2.13,0,2.13,CH
0.991785,1.96,0,1.96,2.18,1,1.38,CH
0.32,1.69,0,1.69,1.69,0,1.69,MM
0.256,1.69,0,1.69,1.99,0,1.99,CH
0.4048,1.86,0,1.86,1.99,1,1.19,MM
0.32384,1.76,0,1.76,2.09,0,2.09,CH
0.459072,1.76,0,1.76,2.09,0,2.09,MM
0.5,1.99,0,1.99,2.23,0,2.23,MM
0.4,1.99,0,1.99,2.23,0,2.23,MM
0.32,1.99,0,1.99,2.23,0,2.23,MM
0.52,1.86,1,1.39,2.13,0,1.59,CH
0.616,1.99,0,1.99,2.13,1,1.59,MM
0.535142,1.69,0,1.69,1.69,0,1.69,CH
0.628114,1.75,1,1.75,1.99,0,1.59,CH
0.702491,1.75,1,1.75,1.99,0,1.59,MM
0.561993,1.75,0,1.75,1.99,0,1.59,CH
0.649594,1.79,0,1.79,2.09,0,2.09,CH
0.719675,1.79,0,1.79,2.09,0,2.09,CH
0.77574,1.86,0,1.86,2.09,0,2.09,CH
0.820592,1.86,0,1.86,2.09,0,2.09,CH
0.856474,1.86,0,1.86,2.18,0,2.18,CH
0.885179,1.86,0,1.86,2.18,0,2.18,CH
0.908143,1.86,0,1.86,2.18,0,2.18,CH
0.926515,1.86,0,1.86,2.18,0,2.18,CH
0.941212,1.86,0,1.86,2.13,0,1.89,CH
0.952969,1.86,0,1.86,2.13,0,1.89,CH
0.962375,1.86,0,1.86,2.13,0,2.13,CH
0.9699,1.86,1,1.49,2.13,0,2.13,CH
0.97592,1.86,1,1.49,2.13,0,2.13,CH
0.980736,1.86,0,1.86,2.13,0,2.13,CH
0.984589,1.86,0,1.86,2.13,0,2.13,CH
0.987671,1.86,1,1.59,2.13,0,2.13,CH
0.990137,1.86,1,1.59,2.13,0,2.13,CH
0.99211,1.86,0,1.86,2.13,0,2.13,CH
0.993688,1.86,0,1.86,2.13,0,2.13,CH
0.99495,1.99,1,1.99,2.13,0,1.59,MM
0.16384,1.69,0,1.69,1.69,1,1.49,CH
0.331072,1.69,1,1.69,1.99,1,1.59,CH
0.5,1.86,0,1.86,2.18,0,2.18,CH
0.6,1.99,0,1.89,2.09,0,2.09,MM
0.48,1.86,0,1.86,2.18,0,2.18,MM
0.384,1.86,0,1.86,2.18,1,1.78,MM
0.3072,1.86,0,1.86,2.18,0,2.18,CH
0.44576,1.86,0,1.86,2.18,0,2.12,CH
0.556608,1.86,0,1.86,2.18,0,2.12,CH
0.645286,1.99,0,1.99,2.18,1,2.18,CH
0.716229,1.99,0,1.99,2.18,0,2.18,CH
0.6672,1.86,0,1.86,2.18,1,1.78,MM
0.5648,1.79,0,1.79,1.79,0,1.79,MM
0.45184,1.79,0,1.79,2.09,0,2.09,MM
0.53376,1.86,0,1.86,2.18,0,2.18,MM
0.427008,1.86,0,1.86,2.18,0,2.12,MM
0.341606,2.09,0,1.89,2.09,0,1.69,MM
0.273285,2.09,0,1.89,2.09,0,2.09,MM
0.027488,1.79,0,1.79,1.79,0,1.79,MM
0.02199,1.79,0,1.79,2.09,0,2.09,MM
0.017592,1.79,0,1.79,2.23,0,2.23,MM
0.014074,1.79,0,1.79,2.23,0,2.23,MM
0.011259,1.79,0,1.79,2.23,0,2.23,MM
0.009007,1.79,0,1.79,2.23,0,2.23,MM
0.007206,1.99,0,1.99,2.23,0,2.23,MM
0.005765,1.99,0,1.99,2.23,0,2.23,MM
0.004612,1.99,0,1.99,2.23,0,2.23,MM
0.003689,1.99,0,1.99,2.23,0,2.23,MM
0.002951,1.99,0,1.99,2.23,0,2.23,MM
0.002361,1.99,0,1.99,2.23,0,2.23,MM
0.001889,1.99,0,1.99,2.23,0,2.23,MM
0.001511,1.99,0,1.99,2.29,0,2.29,MM
0.001209,1.99,0,1.99,2.09,0,2.09,MM
0.000967,1.99,0,1.99,2.09,0,2.09,MM
0.000774,1.99,0,1.89,2.09,0,2.09,MM
0.000619,1.99,0,1.89,2.09,0,2.09,MM
0.000495,1.99,0,1.89,2.09,0,2.09,MM
0.000396,1.86,0,1.86,2.18,0,2.18,MM
0.000317,1.86,0,1.86,2.18,0,2.12,MM
0.000254,1.96,0,1.96,2.18,1,1.38,MM
0.000203,2.09,0,1.89,2.09,0,1.69,MM
0.48,1.69,0,1.69,1.69,0,1.69,CH
0.584,1.69,0,1.69,1.69,0,1.69,MM
0.4672,1.69,1,1.39,1.69,0,1.69,MM
0.37376,1.69,0,1.69,1.69,0,1.69,MM
0.299008,1.79,0,1.79,2.09,0,2.09,CH
0.439206,1.75,0,1.75,1.99,1,1.69,MM
0.351365,1.75,0,1.59,1.99,1,1.69,MM
0.281092,1.89,0,1.89,2.09,0,2.09,CH
0.424874,1.99,0,1.99,2.23,0,2.23,MM
0.339899,1.89,0,1.76,2.18,0,2.18,MM
0.271919,1.86,0,1.86,2.18,1,1.58,MM
0.217535,1.86,0,1.86,2.18,1,2.18,MM
0.174028,1.99,0,1.89,2.09,0,2.09,CH
0.339223,1.86,0,1.86,2.18,0,2.18,CH
0.471378,1.86,0,1.86,2.18,0,2.12,CH
0.577102,1.86,0,1.86,2.18,0,2.12,CH
0.661682,1.96,0,1.96,2.18,1,1.38,CH
0.729346,1.99,0,1.99,2.18,1,2.18,CH
0.783476,1.99,0,1.99,2.18,1,2.18,CH
0.826781,1.99,0,1.99,2.18,0,2.18,CH
0.7952,1.79,0,1.79,2.09,0,2.09,MM
0.63616,1.79,0,1.79,2.23,0,2.23,CH
0.708928,1.99,0,1.99,2.23,0,2.23,CH
0.5,1.99,0,1.99,2.23,0,2.23,CH
0.6,1.99,0,1.99,2.29,1,1.89,CH
0.68,1.99,0,1.89,2.09,0,2.09,CH
0.5,1.99,1,1.89,2.09,0,1.69,MM
0.4,1.99,1,1.89,2.09,0,1.69,CH
0.4,1.69,0,1.69,1.69,0,1.49,MM
0.32,1.69,1,1.39,1.69,0,1.49,CH
0.456,1.76,0,1.76,2.09,0,2.09,CH
0.5648,1.86,0,1.86,1.99,0,1.89,CH
0.65184,1.99,0,1.89,2.09,0,2.09,MM
0.4,1.86,0,1.86,2.13,0,2.13,CH
0.5,1.76,0,1.76,1.99,1,1.59,MM
0.4,1.86,0,1.86,1.99,0,1.89,MM
0.149422,1.69,0,1.69,1.69,1,1.49,MM
0.119538,1.75,0,1.75,1.99,0,1.59,MM
0.09563,1.75,0,1.75,1.99,0,1.59,MM
0.076504,1.75,0,1.75,1.99,0,1.59,MM
0.061203,1.86,0,1.86,2.09,0,2.09,MM
0.048963,1.86,0,1.86,2.18,0,2.18,MM
0.03917,1.86,0,1.86,2.18,0,2.18,MM
0.744,1.75,1,1.75,1.99,0,1.59,CH
0.7952,1.86,0,1.76,2.09,0,2.09,CH
0.83616,1.86,0,1.76,2.09,0,2.09,CH
0.868928,1.76,0,1.76,2.09,0,2.09,CH
0.895142,1.86,0,1.86,2.13,0,1.89,CH
0.916114,1.86,0,1.86,2.13,0,1.89,CH
0.932891,1.86,0,1.59,2.13,0,2.13,CH
0.946313,1.86,1,1.49,2.13,0,2.13,CH
0.95705,1.86,1,1.86,2.13,0,2.13,CH
0.96564,1.86,0,1.86,2.13,0,2.13,CH
0.972512,1.86,1,1.59,2.13,0,2.13,CH
0.97801,1.99,0,1.49,2.13,1,2.13,CH
0.982408,2.06,0,2.06,2.13,0,2.13,CH
0.52,1.79,0,1.79,1.79,0,1.79,CH
0.616,1.99,0,1.99,2.09,0,1.69,MM
0.5,1.79,0,1.79,1.79,1,1.79,MM
0.4,1.79,0,1.79,1.79,0,1.79,MM
0.32,1.79,0,1.79,1.79,0,1.79,MM
0.5,1.99,0,1.99,2.23,0,2.23,MM
0.4,1.99,0,1.89,2.09,0,2.09,CH
0.6,1.99,0,1.99,2.09,0,2.09,CH
0.6,1.99,1,1.99,2.13,0,1.59,MM
0.4,1.86,0,1.86,2.18,0,2.18,MM
0.32,1.86,0,1.86,2.13,0,1.89,MM
0.5,1.79,0,1.79,2.23,0,2.23,MM
0.4,1.86,0,1.86,2.09,0,2.09,MM
0.4,1.75,1,1.75,1.99,0,1.59,MM
0.32,1.99,0,1.99,2.29,0,2.29,MM
0.256,1.86,0,1.86,2.18,0,2.18,MM
0.2048,1.86,1,1.49,2.13,0,2.13,CH
0.36384,1.86,0,1.86,2.18,0,2.18,CH
0.491072,1.86,0,1.86,1.99,1,1.79,MM
0.392858,1.96,0,1.96,2.18,1,1.38,MM
0.314286,1.86,1,1.39,2.13,0,1.59,CH
0.5,1.69,0,1.69,1.69,0,1.69,MM
0.4,1.75,0,1.75,1.99,0,1.99,MM
0.32,1.76,0,1.76,2.18,0,2.18,CH
0.256,1.69,0,1.69,1.69,0,1.69,MM
0.2048,1.69,0,1.69,1.69,0,1.69,MM
0.16384,1.75,0,1.75,1.99,0,1.99,MM
0.131072,1.75,0,1.59,1.99,1,1.69,MM
0.104858,1.89,0,1.76,2.09,0,2.09,CH
0.283886,1.86,0,1.86,2.18,0,2.18,CH
0.427109,1.86,0,1.86,2.18,0,1.48,MM
0.072993,1.69,0,1.69,1.69,1,1.69,CH
0.258395,1.69,0,1.69,1.69,0,1.69,MM
0.206716,1.69,0,1.69,1.69,0,1.69,MM
0.165373,1.69,0,1.69,1.69,0,1.69,MM
0.132298,1.69,0,1.69,1.99,1,1.99,MM
0.105838,1.69,0,1.69,1.69,0,1.69,MM
0.084671,1.75,0,1.75,1.99,0,1.59,CH
0.267737,1.75,0,1.75,1.99,0,1.99,MM
0.214189,1.75,0,1.75,1.99,0,1.99,MM
0.171351,1.75,0,1.75,1.99,0,1.99,MM
0.137081,1.79,0,1.79,2.09,0,2.09,CH
0.309665,1.86,0,1.86,2.09,0,2.09,MM
0.247732,1.75,0,1.59,1.99,1,1.69,MM
0.198186,1.86,0,1.86,2.18,0,2.18,CH
0.358548,1.86,0,1.86,2.18,0,2.18,MM
0.286839,1.86,1,1.49,2.13,0,2.13,CH
0.429471,1.86,0,1.86,2.13,0,2.13,MM
0.343577,1.99,0,1.99,2.09,0,1.69,MM
0.274861,1.86,0,1.86,2.18,0,2.12,MM
0.219889,1.86,1,1.39,2.13,0,1.59,MM
0.175911,1.96,0,1.96,2.18,1,1.38,MM
0.140729,1.99,1,1.99,2.13,0,1.59,MM
0.112583,1.99,0,1.99,2.13,1,1.59,MM
0.433472,1.69,0,1.69,1.69,0,1.69,MM
0.346778,1.75,0,1.75,1.99,0,1.99,MM
0.277422,1.86,0,1.86,1.99,1,1.19,CH
0.421938,1.86,0,1.86,2.18,0,2.18,MM
0.33755,1.86,0,1.86,2.13,0,1.89,MM
0.283886,1.79,0,1.79,1.79,0,1.79,MM
0.227109,1.75,1,1.75,1.99,0,1.59,MM
0.181687,1.79,0,1.79,2.09,0,2.09,MM
0.14535,1.79,0,1.79,2.09,0,2.09,MM
0.11628,1.79,0,1.79,2.23,0,2.23,MM
0.093024,1.86,0,1.86,2.09,0,1.89,MM
0.074419,1.99,0,1.99,2.29,1,1.89,MM
0.059535,1.86,0,1.86,2.18,0,2.18,MM
0.047628,1.99,0,1.99,2.29,0,2.29,MM
0.038103,1.99,0,1.99,2.09,0,2.09,MM
0.030482,1.99,0,1.99,2.09,0,2.09,MM
0.4352,1.69,1,1.69,1.69,0,1.69,CH
0.54816,1.69,0,1.69,1.99,0,1.99,CH
0.416,1.99,0,1.99,2.23,0,2.23,CH
0.5328,2.09,0,1.89,2.09,0,1.69,CH
0.104858,1.99,0,1.99,2.09,0,2.09,CH
0.283886,1.86,1,1.49,2.13,0,2.13,CH
0.427109,1.86,1,1.49,2.13,0,2.13,MM
0.341687,1.99,0,1.89,2.09,0,2.09,MM
0.27335,1.99,0,1.89,2.09,0,2.09,MM
0.21868,1.86,0,1.86,2.13,0,2.13,MM
0.5,1.75,1,1.75,1.99,0,1.59,CH
0.6,1.86,0,1.86,1.99,1,1.19,MM
0.48,1.99,0,1.99,2.29,1,1.89,MM
0.384,1.76,0,1.76,1.99,0,1.99,MM
0.3072,1.76,0,1.76,1.99,0,1.89,CH
0.44576,1.96,0,1.96,2.13,1,1.39,MM
0.6,1.86,0,1.86,1.99,1,1.19,MM
0.48,1.76,0,1.76,2.09,0,2.09,CH
0.584,1.76,0,1.76,2.18,0,2.18,CH
0.6672,1.76,0,1.76,2.18,0,2.18,CH
0.73376,1.76,0,1.76,2.18,0,2.18,CH
0.787008,1.76,0,1.76,1.99,0,1.99,CH
0.829606,1.86,0,1.86,1.99,0,1.89,CH
0.863685,1.96,0,1.96,2.13,1,1.39,MM
0.524608,1.75,1,1.75,1.99,0,1.59,CH
0.619686,1.86,0,1.86,2.18,0,2.18,CH
0.695749,1.99,0,1.99,2.09,0,2.09,MM
0.556599,1.86,0,1.86,2.18,1,1.58,MM
0.445279,1.86,0,1.86,2.18,1,2.18,MM
0.356224,1.86,1,1.49,2.13,0,2.13,CH
0.484979,1.86,0,1.86,2.18,1,1.78,CH
0.587983,1.86,0,1.86,2.18,1,2.18,CH
0.670386,1.99,1,1.89,2.09,0,1.69,MM
0.536309,1.86,0,1.86,2.18,0,2.12,CH
0.629047,1.86,1,1.39,2.13,0,1.59,CH
0.703238,1.99,1,1.99,2.13,0,1.59,MM
0.56259,1.96,0,1.96,2.18,1,1.38,MM
0.450072,2.09,0,1.89,2.09,0,1.69,MM
0.48,1.89,0,1.89,2.09,0,2.09,MM
0.48,1.79,0,1.79,1.79,1,1.79,CH
0.584,1.69,0,1.69,1.69,0,1.69,CH
0.6672,1.86,0,1.86,2.18,0,2.18,CH
0.73376,1.86,1,1.49,2.13,0,2.13,CH
0.787008,1.86,1,1.86,2.13,0,2.13,CH
0.829606,1.86,1,1.59,2.13,0,2.13,CH
0.863685,1.86,0,1.86,2.13,0,2.13,CH
0.890948,1.86,0,1.86,2.13,0,2.13,CH
0.912758,1.86,1,1.39,2.13,0,1.59,CH
0.5,1.86,1,1.39,2.13,0,1.59,CH
0.6,1.96,0,1.96,2.18,1,1.38,MM
0.48,1.99,0,1.99,2.13,1,1.59,MM
0.384,1.99,0,1.49,2.13,1,2.13,CH
0.256,1.86,0,1.86,2.09,0,2.09,MM
0.4,1.86,0,1.76,2.09,0,2.09,CH
0.52,1.86,1,1.49,2.13,0,2.13,CH
0.616,1.86,1,1.49,2.13,0,2.13,CH
0.6928,1.86,1,1.86,2.13,0,2.13,CH
0.75424,1.86,1,1.59,2.13,0,2.13,CH
0.803392,1.86,1,1.39,2.13,0,1.59,CH
0.6,1.89,0,1.76,2.09,0,2.09,CH
0.68,1.89,0,1.76,2.18,0,2.18,CH
0.584,1.86,0,1.86,2.18,0,2.18,CH
0.5,1.79,0,1.79,2.09,0,2.09,CH
0.6,1.79,0,1.79,2.09,0,2.09,CH
0.68,1.75,0,1.75,1.99,0,1.99,CH
0.744,1.75,0,1.75,1.99,0,1.99,CH
0.7952,1.79,0,1.79,2.23,0,2.23,CH
0.83616,1.75,0,1.75,1.99,1,1.69,CH
0.868928,1.79,0,1.79,2.23,0,2.23,CH
0.895142,1.75,0,1.59,1.99,1,1.69,CH
0.916114,1.99,0,1.99,2.23,0,2.23,CH
0.5,1.99,0,1.99,2.23,0,2.23,CH
0.6,1.99,0,1.89,2.09,0,2.09,MM
0.5,1.69,1,1.69,1.69,0,1.69,MM
0.4,1.86,0,1.86,2.18,1,1.58,MM
0.32,1.86,0,1.86,2.18,1,1.78,MM
0.256,1.96,0,1.96,2.18,1,1.38,MM
0.2048,1.99,0,1.99,2.13,1,1.59,MM
